Generations: 1000000
Fitness: quality-control
X function: difficulty
X bounds: min: 0.1 max: 0.8
Y function: reward
Y bounds: min: 0.3 max: 0.7
Buckets: 100 (10 per line)
Filled buckets: 99 / 100 (99%)
Valid buckets (fitness>0.0): 98 / 100 (98%)

Archive map:
       0      1      2      3      4      5      6      7      8      9   
 0 [0,75] [0,75] [0,75] [0,74] [0,74] [0,73] [0,73] [0,70] [0,55] [0,00] 
 1 [0,96] [0,97] [0,97] [0,97] [0,98] [0,97] [0,97] [0,94] [0,91] [----] 
 2 [0,97] [0,98] [0,98] [0,97] [0,98] [0,98] [0,97] [0,96] [0,93] [0,87] 
 3 [0,97] [0,97] [0,97] [0,98] [0,97] [0,97] [0,97] [0,95] [0,93] [0,88] 
 4 [0,97] [0,97] [0,98] [0,97] [0,97] [0,97] [0,97] [0,94] [0,92] [0,82] 
 5 [0,96] [0,96] [0,97] [0,97] [0,97] [0,97] [0,97] [0,93] [0,90] [0,83] 
 6 [0,95] [0,96] [0,96] [0,96] [0,96] [0,94] [0,95] [0,89] [0,85] [0,81] 
 7 [0,94] [0,95] [0,95] [0,95] [0,91] [0,92] [0,94] [0,88] [0,81] [0,77] 
 8 [0,90] [0,91] [0,91] [0,91] [0,91] [0,91] [0,91] [0,89] [0,81] [0,78] 
 9 [0,85] [0,85] [0,91] [0,90] [0,85] [0,84] [0,84] [0,81] [0,78] [0,71] 
