Generations: 1000000
Fitness: quality-control
X function: difficulty
X bounds: min: 0.1 max: 0.8
Y function: reward
Y bounds: min: 0.3 max: 0.7
Buckets: 100 (10 per line)
Filled buckets: 100 / 100 (100%)
Valid buckets (fitness>0.0): 98 / 100 (98%)

Archive map:
       0      1      2      3      4      5      6      7      8      9   
 0 [0,86] [0,86] [0,86] [0,86] [0,85] [0,85] [0,83] [0,79] [0,00] [0,00] 
 1 [0,95] [0,95] [0,95] [0,95] [0,95] [0,95] [0,94] [0,93] [0,86] [0,79] 
 2 [0,95] [0,95] [0,95] [0,95] [0,95] [0,95] [0,94] [0,93] [0,90] [0,78] 
 3 [0,95] [0,95] [0,95] [0,95] [0,95] [0,95] [0,94] [0,93] [0,89] [0,79] 
 4 [0,95] [0,95] [0,95] [0,95] [0,95] [0,95] [0,95] [0,93] [0,89] [0,79] 
 5 [0,93] [0,94] [0,95] [0,94] [0,94] [0,94] [0,93] [0,91] [0,88] [0,79] 
 6 [0,93] [0,94] [0,92] [0,92] [0,92] [0,92] [0,90] [0,89] [0,86] [0,79] 
 7 [0,92] [0,92] [0,92] [0,92] [0,92] [0,92] [0,90] [0,89] [0,86] [0,78] 
 8 [0,92] [0,92] [0,92] [0,92] [0,92] [0,92] [0,90] [0,89] [0,86] [0,76] 
 9 [0,91] [0,91] [0,91] [0,91] [0,92] [0,91] [0,90] [0,87] [0,85] [0,77] 
